#Nbr MFs	Nbr Points	Tps calcul
1	1000000	1250000.000000
2	1000000	520000.000000
3	1000000	680000.000000
4	1000000	720000.000000
5	1000000	690000.000000
6	1000000	800000.000000
7	1000000	840000.000000
8	1000000	880000.000000
9	1000000	750000.000000
10	1000000	970000.000000
11	1000000	1030000.000000
12	1000000	1050000.000000
13	1000000	1090000.000000
14	1000000	1130000.000000
15	1000000	1170000.000000
16	1000000	1210000.000000
17	1000000	990000.000000
18	1000000	1320000.000000
19	1000000	1370000.000000
20	1000000	1410000.000000
21	1000000	1440000.000000
22	1000000	1490000.000000
23	1000000	1530000.000000
24	1000000	1580000.000000
25	1000000	1610000.000000
26	1000000	1650000.000000
27	1000000	1690000.000000
28	1000000	1750000.000000
29	1000000	1840000.000000
30	1000000	2050000.000000
31	1000000	1910000.000000
32	1000000	2120000.000000
33	1000000	1430000.000000
34	1000000	2030000.000000
35	1000000	2150000.000000
36	1000000	2240000.000000
37	1000000	2130000.000000
38	1000000	2220000.000000
39	1000000	2270000.000000
40	1000000	2220000.000000
41	1000000	2250000.000000
42	1000000	2530000.000000
43	1000000	2710000.000000
44	1000000	2510000.000000
45	1000000	2690000.000000
46	1000000	2580000.000000
47	1000000	2690000.000000
48	1000000	2650000.000000
49	1000000	2670000.000000
50	1000000	2760000.000000
51	1000000	2830000.000000
52	1000000	3120000.000000
53	1000000	3130000.000000
54	1000000	2940000.000000
55	1000000	3040000.000000
56	1000000	3090000.000000
57	1000000	3100000.000000
58	1000000	3100000.000000
59	1000000	3160000.000000
60	1000000	3200000.000000
61	1000000	3410000.000000
62	1000000	3260000.000000
63	1000000	3250000.000000
64	1000000	3260000.000000
65	1000000	2190000.000000
66	1000000	3360000.000000
67	1000000	3540000.000000
68	1000000	3710000.000000
69	1000000	3790000.000000
70	1000000	3580000.000000
71	1000000	3510000.000000
72	1000000	3510000.000000
73	1000000	3540000.000000
74	1000000	3650000.000000
75	1000000	3760000.000000
76	1000000	3650000.000000
77	1000000	3700000.000000
78	1000000	3730000.000000
79	1000000	3770000.000000
80	1000000	3820000.000000
81	1000000	3850000.000000
82	1000000	3890000.000000
83	1000000	4160000.000000
84	1000000	4360000.000000
85	1000000	4080000.000000
86	1000000	4220000.000000
87	1000000	4450000.000000
88	1000000	4250000.000000
89	1000000	4300000.000000
90	1000000	4280000.000000
91	1000000	4310000.000000
92	1000000	4510000.000000
93	1000000	4570000.000000
94	1000000	4660000.000000
95	1000000	4480000.000000
96	1000000	4460000.000000
97	1000000	4510000.000000
98	1000000	4560000.000000
99	1000000	4590000.000000
100	1000000	4730000.000000
